step,prompt,category,avg_good_prob,avg_bad_prob,log_ratio,correct,timestamp
1000,2 + 2 =,arithmetic,0.000000,0.000000,-0.0007,False,2025-12-28T06:45:08.837456
1000,5 + 3 =,arithmetic,0.000000,0.000000,-0.0020,False,2025-12-28T06:45:08.837465
1000,10 - 4 =,arithmetic,0.000000,0.000000,-0.0648,False,2025-12-28T06:45:08.837469
1000,3 x 3 =,arithmetic,0.000000,0.000000,0.6394,True,2025-12-28T06:45:08.837474
1000,The capital of France is,knowledge,0.000000,0.000000,0.0000,True,2025-12-28T06:45:08.837479
1000,The sun rises in the,knowledge,0.000000,0.000000,-0.0029,False,2025-12-28T06:45:08.837484
1000,Water freezes at,knowledge,0.000000,0.000000,-0.0000,False,2025-12-28T06:45:08.837489
1000,The opposite of hot is,semantic,0.000000,0.000000,0.0000,False,2025-12-28T06:45:08.837493
1000,The opposite of big is,semantic,0.000000,0.000000,0.0000,True,2025-12-28T06:45:08.837498
1000,Dog is to puppy as cat is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T06:45:08.837502
1000,King is to queen as man is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T06:45:08.837507
2000,2 + 2 =,arithmetic,0.000001,0.000001,0.2270,False,2025-12-28T07:15:02.487554
2000,5 + 3 =,arithmetic,0.000005,0.000022,-1.4109,False,2025-12-28T07:15:02.487562
2000,10 - 4 =,arithmetic,0.000000,0.000002,-4.7026,False,2025-12-28T07:15:02.487567
2000,3 x 3 =,arithmetic,0.000046,0.000003,2.5836,True,2025-12-28T07:15:02.487571
2000,The capital of France is,knowledge,0.000000,0.000000,0.0000,True,2025-12-28T07:15:02.487577
2000,The sun rises in the,knowledge,0.000000,0.000000,-0.0000,False,2025-12-28T07:15:02.487582
2000,Water freezes at,knowledge,0.000000,0.000000,-0.0000,False,2025-12-28T07:15:02.487586
2000,The opposite of hot is,semantic,0.000000,0.000000,0.0000,True,2025-12-28T07:15:02.487591
2000,The opposite of big is,semantic,0.000000,0.000000,0.0000,True,2025-12-28T07:15:02.487595
2000,Dog is to puppy as cat is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T07:15:02.487599
2000,King is to queen as man is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T07:15:02.487604
3000,2 + 2 =,arithmetic,0.000000,0.000000,-0.0293,False,2025-12-28T07:44:45.851182
3000,5 + 3 =,arithmetic,0.000000,0.000000,0.0005,False,2025-12-28T07:44:45.851191
3000,10 - 4 =,arithmetic,0.000000,0.000000,-0.2576,False,2025-12-28T07:44:45.851196
3000,3 x 3 =,arithmetic,0.000000,0.000000,-0.0017,False,2025-12-28T07:44:45.851200
3000,The capital of France is,knowledge,0.000000,0.000000,0.0000,False,2025-12-28T07:44:45.851205
3000,The sun rises in the,knowledge,0.000000,0.000000,-0.0000,False,2025-12-28T07:44:45.851209
3000,Water freezes at,knowledge,0.000000,0.000000,0.0000,False,2025-12-28T07:44:45.851213
3000,The opposite of hot is,semantic,0.000000,0.000000,0.0000,False,2025-12-28T07:44:45.851217
3000,The opposite of big is,semantic,0.000000,0.000000,0.0000,False,2025-12-28T07:44:45.851221
3000,Dog is to puppy as cat is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T07:44:45.851226
3000,King is to queen as man is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T07:44:45.851230
4000,2 + 2 =,arithmetic,0.006777,0.300206,-3.7909,False,2025-12-28T08:14:29.288808
4000,5 + 3 =,arithmetic,0.000784,0.000053,2.6977,True,2025-12-28T08:14:29.288817
4000,10 - 4 =,arithmetic,0.000167,0.000211,-0.2317,False,2025-12-28T08:14:29.288821
4000,3 x 3 =,arithmetic,0.000000,0.000021,-9.0676,False,2025-12-28T08:14:29.288826
4000,The capital of France is,knowledge,0.000000,0.000000,0.0000,False,2025-12-28T08:14:29.288831
4000,The sun rises in the,knowledge,0.000000,0.000000,-0.0000,False,2025-12-28T08:14:29.288836
4000,Water freezes at,knowledge,0.000000,0.000000,0.0000,False,2025-12-28T08:14:29.288840
4000,The opposite of hot is,semantic,0.000000,0.000000,0.0000,True,2025-12-28T08:14:29.288845
4000,The opposite of big is,semantic,0.000000,0.000000,-0.0000,False,2025-12-28T08:14:29.288849
4000,Dog is to puppy as cat is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T08:14:29.288853
4000,King is to queen as man is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T08:14:29.288857
5000,2 + 2 =,arithmetic,0.001253,0.000012,4.6232,True,2025-12-28T08:44:15.994720
5000,5 + 3 =,arithmetic,0.000001,0.000034,-3.8921,False,2025-12-28T08:44:15.994729
5000,10 - 4 =,arithmetic,0.000001,0.002790,-7.8145,False,2025-12-28T08:44:15.994734
5000,3 x 3 =,arithmetic,0.000000,0.000000,0.0633,True,2025-12-28T08:44:15.994739
5000,The capital of France is,knowledge,0.000000,0.000000,0.0000,True,2025-12-28T08:44:15.994744
5000,The sun rises in the,knowledge,0.000000,0.000000,-0.0022,False,2025-12-28T08:44:15.994749
5000,Water freezes at,knowledge,0.000000,0.000000,0.0000,True,2025-12-28T08:44:15.994754
5000,The opposite of hot is,semantic,0.000000,0.000000,0.0000,False,2025-12-28T08:44:15.994758
5000,The opposite of big is,semantic,0.000000,0.000000,-0.0000,False,2025-12-28T08:44:15.994762
5000,Dog is to puppy as cat is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T08:44:15.994766
5000,King is to queen as man is to,analogy,0.000000,0.000000,0.0000,False,2025-12-28T08:44:15.994771
6000,2 + 2 =,arithmetic,0.000043,0.000032,0.2956,False,2025-12-28T09:14:00.988175
6000,5 + 3 =,arithmetic,0.000000,0.000000,0.0001,True,2025-12-28T09:14:00.988184
6000,10 - 4 =,arithmetic,0.000000,0.000000,-0.0011,False,2025-12-28T09:14:00.988189
6000,3 x 3 =,arithmetic,0.000000,0.000000,-2.6606,False,2025-12-28T09:14:00.988194
6000,The capital of France is,knowledge,0.000000,0.000000,0.0000,False,2025-12-28T09:14:00.988199
6000,The sun rises in the,knowledge,0.000000,0.000000,-0.0000,False,2025-12-28T09:14:00.988204
6000,Water freezes at,knowledge,0.000000,0.000000,0.0000,False,2025-12-28T09:14:00.988208
